"strain_1","strain_2","strain_3","name","media","init_OD","temperature","replicate","row","col","well","pH","anomalous","time","OD600","OD730","RFP","GFP","column","normalised_OD"
"blank","blank","blank","Negative","LB",0.001,30,1,"A",1,"A1",7,"no",1200,0.155,0.146,49,3169,1,0.005
"blank","blank","blank","Negative","LB",0.001,30,2,"A",2,"A2",7,"no",1200,0.147,0.139,46,3188,2,-0.003
"blank","blank","blank","Negative","LB",0.001,30,3,"A",3,"A3",7,"no",1200,0.154,0.146,52,3089,3,0.004
"blank","blank","blank","Negative","LB",0.001,30,4,"A",4,"A4",7,"no",1200,0.144,0.135,42,3209,4,-0.006
"blank","blank","blank","Negative","BG11",0.001,30,1,"A",5,"A5",7.5,"no",1200,0.145,0.138,7,249,5,-0.005
"blank","blank","blank","Negative","BG11",0.001,30,2,"A",6,"A6",7.5,"no",1200,0.157,0.15,8,218,6,0.00700000000000001
"blank","blank","blank","Negative","BG11",0.001,30,3,"A",7,"A7",7.5,"no",1200,0.157,0.151,9,227,7,0.00700000000000001
"blank","blank","blank","Negative","BG11",0.001,30,4,"A",8,"A8",7.5,"no",1200,0.154,0.148,8,231,8,0.004
"blank","blank","blank","Negative","LB + BG11",0.001,30,1,"A",9,"A9",7.2,"no",1200,0.146,0.139,32,1761,9,-0.004
"blank","blank","blank","Negative","LB + BG11",0.001,30,2,"A",10,"A10",7.2,"no",1200,0.148,0.141,29,1742,10,-0.002
"blank","blank","blank","Negative","LB + BG11",0.001,30,3,"A",11,"A11",7.2,"no",1200,0.159,0.151,29,1744,11,0.00900000000000001
"blank","blank","blank","Negative","LB + BG11",0.001,30,4,"A",12,"A12",7.2,"no",1200,0.159,0.151,32,1730,12,0.00900000000000001
"S.oneidensis","blank","blank","So","LB",0.001,30,1,"B",1,"B1",7,"no",1200,0.147,0.138,48,3200,1,-0.003
"S.oneidensis","blank","blank","So","LB",0.001,30,2,"B",2,"B2",7,"no",1200,0.146,0.137,56,3227,2,-0.004
"S.oneidensis","blank","blank","So","LB",0.001,30,3,"B",3,"B3",7,"no",1200,0.148,0.14,52,3112,3,-0.002
"S.oneidensis","blank","blank","So","LB",0.001,30,4,"B",4,"B4",7,"no",1200,0.153,0.144,57,3206,4,0.003
"S.oneidensis","blank","blank","So","BG11",0.001,30,1,"B",5,"B5",7.5,"no",1200,0.152,0.147,8,286,5,0.002
"S.oneidensis","blank","blank","So","BG11",0.001,30,2,"B",6,"B6",7.5,"no",1200,0.152,0.146,8,271,6,0.002
"S.oneidensis","blank","blank","So","BG11",0.001,30,3,"B",7,"B7",7.5,"no",1200,0.153,0.148,3,270,7,0.003
"S.oneidensis","blank","blank","So","BG11",0.001,30,4,"B",8,"B8",7.5,"no",1200,0.157,0.152,4,256,8,0.00700000000000001
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,1,"B",9,"B9",7.2,"no",1200,0.159,0.152,31,1749,9,0.00900000000000001
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,2,"B",10,"B10",7.2,"no",1200,0.151,0.145,29,1755,10,0.001
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,3,"B",11,"B11",7.2,"no",1200,0.156,0.15,31,1738,11,0.006
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,4,"B",12,"B12",7.2,"no",1200,0.161,0.154,28,1740,12,0.011
"P.pudita","blank","blank","Pp","LB",0.001,30,1,"C",1,"C1",7,"no",1200,0.146,0.137,55,3145,1,-0.004
"P.pudita","blank","blank","Pp","LB",0.001,30,2,"C",2,"C2",7,"no",1200,0.148,0.139,54,3241,2,-0.002
"P.pudita","blank","blank","Pp","LB",0.001,30,3,"C",3,"C3",7,"no",1200,0.146,0.137,64,3137,3,-0.004
"P.pudita","blank","blank","Pp","LB",0.001,30,4,"C",4,"C4",7,"no",1200,0.153,0.144,51,3165,4,0.003
"P.pudita","blank","blank","Pp","BG11",0.001,30,1,"C",5,"C5",7.5,"no",1200,0.149,0.14,7,267,5,-0.001
"P.pudita","blank","blank","Pp","BG11",0.001,30,2,"C",6,"C6",7.5,"no",1200,0.145,0.14,5,269,6,-0.005
"P.pudita","blank","blank","Pp","BG11",0.001,30,3,"C",7,"C7",7.5,"no",1200,0.156,0.15,7,262,7,0.006
"P.pudita","blank","blank","Pp","BG11",0.001,30,4,"C",8,"C8",7.5,"no",1200,0.153,0.149,7,272,8,0.003
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,1,"C",9,"C9",7.2,"no",1200,0.149,0.142,29,1759,9,-0.001
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,2,"C",10,"C10",7.2,"no",1200,0.162,0.154,28,1758,10,0.012
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,3,"C",11,"C11",7.2,"no",1200,0.159,0.154,32,1802,11,0.00900000000000001
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,4,"C",12,"C12",7.2,"no",1200,0.159,0.151,29,1757,12,0.00900000000000001
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,1,"D",1,"D1",7,"no",1200,0.147,0.138,44,3132,1,-0.003
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,2,"D",2,"D2",7,"yes",1200,0.144,0.134,54,3159,2,-0.006
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,3,"D",3,"D3",7,"no",1200,0.15,0.141,52,3182,3,0
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,4,"D",4,"D4",7,"no",1200,0.148,0.141,51,3186,4,-0.002
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,1,"D",5,"D5",7.5,"no",1200,0.156,0.15,5,218,5,0.006
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,2,"D",6,"D6",7.5,"no",1200,0.141,0.136,12,219,6,-0.00900000000000001
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,3,"D",7,"D7",7.5,"no",1200,0.155,0.15,5,224,7,0.005
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,4,"D",8,"D8",7.5,"no",1200,0.146,0.141,10,227,8,-0.004
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,1,"D",9,"D9",7.2,"no",1200,0.15,0.143,27,1711,9,0
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,2,"D",10,"D10",7.2,"no",1200,0.158,0.151,26,1748,10,0.00800000000000001
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,3,"D",11,"D11",7.2,"no",1200,0.153,0.146,31,1721,11,0.003
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,4,"D",12,"D12",7.2,"no",1200,0.155,0.148,30,1746,12,0.005
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,1,"E",1,"E1",7,"no",1200,0.144,0.135,48,3091,1,-0.006
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,2,"E",2,"E2",7,"no",1200,0.146,0.137,50,3138,2,-0.004
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,3,"E",3,"E3",7,"no",1200,0.152,0.143,56,3188,3,0.002
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,4,"E",4,"E4",7,"no",1200,0.143,0.134,52,3172,4,-0.00700000000000001
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,1,"E",5,"E5",7.5,"no",1200,0.145,0.14,8,244,5,-0.005
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,2,"E",6,"E6",7.5,"no",1200,0.146,0.14,5,265,6,-0.004
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,3,"E",7,"E7",7.5,"no",1200,0.149,0.144,7,259,7,-0.001
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,4,"E",8,"E8",7.5,"no",1200,0.172,0.167,6,237,8,0.022
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,1,"E",9,"E9",7.2,"no",1200,0.165,0.158,64,1853,9,0.015
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,2,"E",10,"E10",7.2,"no",1200,0.165,0.158,31,1768,10,0.015
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,3,"E",11,"E11",7.2,"no",1200,0.167,0.159,33,1767,11,0.017
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,4,"E",12,"E12",7.2,"no",1200,0.168,0.16,28,1743,12,0.018
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,1,"F",1,"F1",7,"no",1200,0.144,0.134,53,3053,1,-0.006
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,2,"F",2,"F2",7,"no",1200,0.149,0.139,52,3129,2,-0.001
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,3,"F",3,"F3",7,"no",1200,0.148,0.139,52,3088,3,-0.002
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,4,"F",4,"F4",7,"no",1200,0.16,0.148,47,3122,4,0.01
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,1,"F",5,"F5",7.5,"no",1200,0.146,0.14,5,235,5,-0.004
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,2,"F",6,"F6",7.5,"no",1200,0.146,0.141,8,239,6,-0.004
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,3,"F",7,"F7",7.5,"no",1200,0.162,0.158,6,251,7,0.012
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,4,"F",8,"F8",7.5,"no",1200,0.164,0.159,7,278,8,0.014
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,1,"F",9,"F9",7.2,"no",1200,0.155,0.148,29,1743,9,0.005
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,2,"F",10,"F10",7.2,"no",1200,0.17,0.163,27,1732,10,0.02
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,3,"F",11,"F11",7.2,"no",1200,0.163,0.157,28,1742,11,0.013
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,4,"F",12,"F12",7.2,"no",1200,0.168,0.16,32,1748,12,0.018
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,1,"G",1,"G1",7,"no",1200,0.143,0.134,51,3086,1,-0.00700000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,2,"G",2,"G2",7,"no",1200,0.146,0.137,54,3143,2,-0.004
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,3,"G",3,"G3",7,"no",1200,0.151,0.141,55,3152,3,0.001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,4,"G",4,"G4",7,"no",1200,0.146,0.137,48,3092,4,-0.004
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,1,"G",5,"G5",7.5,"no",1200,0.158,0.152,5,289,5,0.00800000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,2,"G",6,"G6",7.5,"no",1200,0.151,0.146,9,270,6,0.001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,3,"G",7,"G7",7.5,"no",1200,0.168,0.162,11,271,7,0.018
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,4,"G",8,"G8",7.5,"no",1200,0.16,0.153,6,266,8,0.01
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,1,"G",9,"G9",7.2,"no",1200,0.161,0.154,33,1753,9,0.011
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,2,"G",10,"G10",7.2,"no",1200,0.157,0.148,32,1748,10,0.00700000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,3,"G",11,"G11",7.2,"no",1200,0.18,0.173,27,1747,11,0.03
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,4,"G",12,"G12",7.2,"no",1200,0.153,0.145,29,1742,12,0.003
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,1,"H",1,"H1",7,"no",1200,0.146,0.137,53,3051,1,-0.004
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,2,"H",2,"H2",7,"no",1200,0.152,0.142,51,3147,2,0.002
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,3,"H",3,"H3",7,"no",1200,0.155,0.146,48,3088,3,0.005
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,4,"H",4,"H4",7,"no",1200,0.15,0.141,48,3065,4,0
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,1,"H",5,"H5",7.5,"no",1200,0.146,0.143,6,254,5,-0.004
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,2,"H",6,"H6",7.5,"no",1200,0.155,0.15,8,241,6,0.005
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,3,"H",7,"H7",7.5,"no",1200,0.149,0.145,7,266,7,-0.001
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,4,"H",8,"H8",7.5,"no",1200,0.165,0.158,5,272,8,0.015
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,1,"H",9,"H9",7.2,"no",1200,0.159,0.15,29,1757,9,0.00900000000000001
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,2,"H",10,"H10",7.2,"no",1200,0.164,0.158,32,1748,10,0.014
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,3,"H",11,"H11",7.2,"no",1200,0.16,0.153,31,1742,11,0.01
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB + BG11",0.001,30,4,"H",12,"H12",7.2,"no",1200,0.157,0.148,27,1739,12,0.00700000000000001
"blank","blank","blank","Negative","LB",0.001,30,1,"A",1,"A1",7,"no",2400,0.155,0.145,60,3146,1,0.00575
"blank","blank","blank","Negative","LB",0.001,30,2,"A",2,"A2",7,"no",2400,0.146,0.137,58,3166,2,-0.00325
"blank","blank","blank","Negative","LB",0.001,30,3,"A",3,"A3",7,"no",2400,0.153,0.145,56,3117,3,0.00375
"blank","blank","blank","Negative","LB",0.001,30,4,"A",4,"A4",7,"no",2400,0.143,0.134,58,3208,4,-0.00625
"blank","blank","blank","Negative","BG11",0.001,30,1,"A",5,"A5",7.5,"no",2400,0.143,0.137,7,236,5,-0.00625
"blank","blank","blank","Negative","BG11",0.001,30,2,"A",6,"A6",7.5,"no",2400,0.154,0.149,12,225,6,0.00475
"blank","blank","blank","Negative","BG11",0.001,30,3,"A",7,"A7",7.5,"no",2400,0.157,0.151,8,224,7,0.00775000000000001
"blank","blank","blank","Negative","BG11",0.001,30,4,"A",8,"A8",7.5,"no",2400,0.153,0.149,10,235,8,0.00375
"blank","blank","blank","Negative","LB + BG11",0.001,30,1,"A",9,"A9",7.2,"no",2400,0.146,0.139,29,1737,9,-0.00325
"blank","blank","blank","Negative","LB + BG11",0.001,30,2,"A",10,"A10",7.2,"no",2400,0.149,0.141,32,1762,10,-0.00025
"blank","blank","blank","Negative","LB + BG11",0.001,30,3,"A",11,"A11",7.2,"no",2400,0.158,0.15,30,1740,11,0.00875000000000001
"blank","blank","blank","Negative","LB + BG11",0.001,30,4,"A",12,"A12",7.2,"no",2400,0.159,0.151,29,1748,12,0.00975000000000001
"S.oneidensis","blank","blank","So","LB",0.001,30,1,"B",1,"B1",7,"no",2400,0.147,0.137,49,3183,1,-0.00225
"S.oneidensis","blank","blank","So","LB",0.001,30,2,"B",2,"B2",7,"no",2400,0.145,0.135,55,3165,2,-0.00425
"S.oneidensis","blank","blank","So","LB",0.001,30,3,"B",3,"B3",7,"no",2400,0.148,0.139,55,3093,3,-0.00125
"S.oneidensis","blank","blank","So","LB",0.001,30,4,"B",4,"B4",7,"no",2400,0.152,0.143,45,3189,4,0.00275
"S.oneidensis","blank","blank","So","BG11",0.001,30,1,"B",5,"B5",7.5,"no",2400,0.153,0.146,7,276,5,0.00375
"S.oneidensis","blank","blank","So","BG11",0.001,30,2,"B",6,"B6",7.5,"no",2400,0.152,0.146,8,266,6,0.00275
"S.oneidensis","blank","blank","So","BG11",0.001,30,3,"B",7,"B7",7.5,"no",2400,0.153,0.148,0,268,7,0.00375
"S.oneidensis","blank","blank","So","BG11",0.001,30,4,"B",8,"B8",7.5,"no",2400,0.159,0.153,10,263,8,0.00975000000000001
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,1,"B",9,"B9",7.2,"no",2400,0.16,0.152,32,1739,9,0.01075
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,2,"B",10,"B10",7.2,"no",2400,0.152,0.144,36,1779,10,0.00275
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,3,"B",11,"B11",7.2,"no",2400,0.156,0.149,28,1770,11,0.00675000000000001
"S.oneidensis","blank","blank","So","LB + BG11",0.001,30,4,"B",12,"B12",7.2,"no",2400,0.162,0.155,28,1747,12,0.01275
"P.pudita","blank","blank","Pp","LB",0.001,30,1,"C",1,"C1",7,"no",2400,0.145,0.136,50,3156,1,-0.00425
"P.pudita","blank","blank","Pp","LB",0.001,30,2,"C",2,"C2",7,"no",2400,0.148,0.138,55,3219,2,-0.00125
"P.pudita","blank","blank","Pp","LB",0.001,30,3,"C",3,"C3",7,"no",2400,0.146,0.137,58,3144,3,-0.00325
"P.pudita","blank","blank","Pp","LB",0.001,30,4,"C",4,"C4",7,"no",2400,0.152,0.144,48,3199,4,0.00275
"P.pudita","blank","blank","Pp","BG11",0.001,30,1,"C",5,"C5",7.5,"no",2400,0.147,0.142,7,261,5,-0.00225
"P.pudita","blank","blank","Pp","BG11",0.001,30,2,"C",6,"C6",7.5,"no",2400,0.145,0.14,13,252,6,-0.00425
"P.pudita","blank","blank","Pp","BG11",0.001,30,3,"C",7,"C7",7.5,"no",2400,0.155,0.15,3,270,7,0.00575
"P.pudita","blank","blank","Pp","BG11",0.001,30,4,"C",8,"C8",7.5,"no",2400,0.154,0.148,7,259,8,0.00475
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,1,"C",9,"C9",7.2,"no",2400,0.149,0.142,26,1720,9,-0.00025
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,2,"C",10,"C10",7.2,"no",2400,0.161,0.153,29,1775,10,0.01175
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,3,"C",11,"C11",7.2,"no",2400,0.159,0.153,31,1762,11,0.00975000000000001
"P.pudita","blank","blank","Pp","LB + BG11",0.001,30,4,"C",12,"C12",7.2,"no",2400,0.159,0.151,35,1741,12,0.00975000000000001
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,1,"D",1,"D1",7,"no",2400,0.147,0.138,54,3136,1,-0.00225
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,2,"D",2,"D2",7,"yes",2400,0.144,0.135,44,3155,2,-0.00525
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,3,"D",3,"D3",7,"no",2400,0.149,0.14,52,3162,3,-0.00025
"Synechocystis.sp","blank","blank","Ss","LB",0.001,30,4,"D",4,"D4",7,"no",2400,0.148,0.14,49,3172,4,-0.00125
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,1,"D",5,"D5",7.5,"no",2400,0.156,0.15,10,223,5,0.00675000000000001
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,2,"D",6,"D6",7.5,"no",2400,0.142,0.137,12,232,6,-0.00725000000000001
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,3,"D",7,"D7",7.5,"no",2400,0.155,0.15,5,225,7,0.00575
"Synechocystis.sp","blank","blank","Ss","BG11",0.001,30,4,"D",8,"D8",7.5,"no",2400,0.144,0.141,9,225,8,-0.00525
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,1,"D",9,"D9",7.2,"no",2400,0.15,0.143,30,1728,9,0.000750000000000001
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,2,"D",10,"D10",7.2,"no",2400,0.157,0.15,35,1758,10,0.00775000000000001
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,3,"D",11,"D11",7.2,"no",2400,0.153,0.147,29,1705,11,0.00375
"Synechocystis.sp","blank","blank","Ss","LB + BG11",0.001,30,4,"D",12,"D12",7.2,"no",2400,0.156,0.148,38,1728,12,0.00675000000000001
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,1,"E",1,"E1",7,"no",2400,0.143,0.134,52,3101,1,-0.00625
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,2,"E",2,"E2",7,"no",2400,0.146,0.137,54,3127,2,-0.00325
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,3,"E",3,"E3",7,"no",2400,0.152,0.144,51,3205,3,0.00275
"S.oneidensis","P.pudita","blank","So + Pp","LB",0.001,30,4,"E",4,"E4",7,"no",2400,0.142,0.133,47,3143,4,-0.00725000000000001
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,1,"E",5,"E5",7.5,"no",2400,0.145,0.139,2,252,5,-0.00425
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,2,"E",6,"E6",7.5,"no",2400,0.147,0.141,5,256,6,-0.00225
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,3,"E",7,"E7",7.5,"no",2400,0.148,0.143,6,253,7,-0.00125
"S.oneidensis","P.pudita","blank","So + Pp","BG11",0.001,30,4,"E",8,"E8",7.5,"no",2400,0.17,0.166,3,234,8,0.02075
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,1,"E",9,"E9",7.2,"no",2400,0.166,0.159,71,1826,9,0.01675
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,2,"E",10,"E10",7.2,"no",2400,0.164,0.157,27,1743,10,0.01475
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,3,"E",11,"E11",7.2,"no",2400,0.166,0.159,32,1776,11,0.01675
"S.oneidensis","P.pudita","blank","So + Pp","LB + BG11",0.001,30,4,"E",12,"E12",7.2,"no",2400,0.168,0.16,36,1747,12,0.01875
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,1,"F",1,"F1",7,"no",2400,0.144,0.134,49,3043,1,-0.00525
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,2,"F",2,"F2",7,"no",2400,0.148,0.139,54,3172,2,-0.00125
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,3,"F",3,"F3",7,"no",2400,0.147,0.138,52,3097,3,-0.00225
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB",0.001,30,4,"F",4,"F4",7,"no",2400,0.159,0.149,53,3117,4,0.00975000000000001
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,1,"F",5,"F5",7.5,"no",2400,0.146,0.141,5,250,5,-0.00325
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,2,"F",6,"F6",7.5,"no",2400,0.147,0.141,7,246,6,-0.00225
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,3,"F",7,"F7",7.5,"no",2400,0.162,0.157,4,255,7,0.01275
"S.oneidensis","Synechocystis.sp","blank","So + Ss","BG11",0.001,30,4,"F",8,"F8",7.5,"no",2400,0.163,0.159,5,252,8,0.01375
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,1,"F",9,"F9",7.2,"no",2400,0.156,0.149,27,1730,9,0.00675000000000001
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,2,"F",10,"F10",7.2,"no",2400,0.17,0.163,30,1748,10,0.02075
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,3,"F",11,"F11",7.2,"no",2400,0.163,0.156,31,1750,11,0.01375
"S.oneidensis","Synechocystis.sp","blank","So + Ss","LB + BG11",0.001,30,4,"F",12,"F12",7.2,"no",2400,0.167,0.159,29,1752,12,0.01775
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,1,"G",1,"G1",7,"no",2400,0.142,0.133,51,3095,1,-0.00725000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,2,"G",2,"G2",7,"no",2400,0.146,0.137,51,3146,2,-0.00325
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,3,"G",3,"G3",7,"no",2400,0.151,0.141,55,3145,3,0.00175
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB",0.001,30,4,"G",4,"G4",7,"no",2400,0.145,0.137,53,3078,4,-0.00425
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,1,"G",5,"G5",7.5,"no",2400,0.159,0.153,4,274,5,0.00975000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,2,"G",6,"G6",7.5,"no",2400,0.152,0.146,6,286,6,0.00275
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,3,"G",7,"G7",7.5,"no",2400,0.168,0.162,9,255,7,0.01875
"P.pudita","Synechocystis.sp","blank","Pp + Ss","BG11",0.001,30,4,"G",8,"G8",7.5,"no",2400,0.159,0.156,6,264,8,0.00975000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,1,"G",9,"G9",7.2,"no",2400,0.161,0.155,27,1764,9,0.01175
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,2,"G",10,"G10",7.2,"no",2400,0.156,0.149,39,1743,10,0.00675000000000001
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,3,"G",11,"G11",7.2,"no",2400,0.179,0.172,38,1739,11,0.02975
"P.pudita","Synechocystis.sp","blank","Pp + Ss","LB + BG11",0.001,30,4,"G",12,"G12",7.2,"no",2400,0.153,0.145,35,1780,12,0.00375
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,1,"H",1,"H1",7,"no",2400,0.146,0.137,54,3016,1,-0.00325
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,2,"H",2,"H2",7,"no",2400,0.152,0.142,54,3122,2,0.00275
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,3,"H",3,"H3",7,"no",2400,0.154,0.146,51,3099,3,0.00475
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","LB",0.001,30,4,"H",4,"H4",7,"no",2400,0.149,0.139,46,3034,4,-0.00025
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,1,"H",5,"H5",7.5,"no",2400,0.146,0.141,6,259,5,-0.00325
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,2,"H",6,"H6",7.5,"no",2400,0.155,0.15,6,251,6,0.00575
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,3,"H",7,"H7",7.5,"no",2400,0.151,0.144,14,258,7,0.00175
"S.oneidensis","P.pudita","Synechocystis.sp","So + Pp + Ss","BG11",0.001,30,4,"H",8,"H8",7.5,"no",2400,0.165,0.157,8,277,8,0.01575
