strain_1,strain_2,strain_3,name,media,init_OD,temperature,replicate,row,col,well,pH,anomalous,time,OD600,OD730,column
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,2,F,10,F10,7.2,no,22800,0.336,0.287,10
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,3,F,11,F11,7.2,no,22800,0.389,0.321,11
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,4,F,12,F12,7.2,no,22800,0.381,0.316,12
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,1,G,1,G1,7,no,22800,0.305,0.263,1
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,2,G,2,G2,7,no,22800,0.299,0.264,2
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,3,G,3,G3,7,no,22800,0.344,0.291,3
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,4,G,4,G4,7,no,22800,0.275,0.238,4
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,1,G,5,G5,7.5,no,22800,0.21,0.193,5
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,2,G,6,G6,7.5,no,22800,0.193,0.18,6
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,3,G,7,G7,7.5,no,22800,0.195,0.183,7
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,4,G,8,G8,7.5,no,22800,0.189,0.177,8
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,1,G,9,G9,7.2,no,22800,0.399,0.34,9
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,2,G,10,G10,7.2,no,22800,0.41,0.342,10
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,3,G,11,G11,7.2,no,22800,0.395,0.355,11
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,4,G,12,G12,7.2,no,22800,0.421,0.366,12
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,1,H,1,H1,7,no,22800,0.438,0.364,1
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,2,H,2,H2,7,no,22800,0.282,0.242,2
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,3,H,3,H3,7,no,22800,0.431,0.365,3
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,4,H,4,H4,7,no,22800,0.329,0.268,4
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,1,H,5,H5,7.5,no,22800,0.181,0.168,5
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,2,H,6,H6,7.5,no,22800,0.181,0.17,6
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,3,H,7,H7,7.5,no,22800,0.181,0.169,7
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,4,H,8,H8,7.5,no,22800,0.202,0.187,8
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,1,H,9,H9,7.2,no,22800,0.543,0.452,9
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,2,H,10,H10,7.2,no,22800,0.437,0.38,10
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,3,H,11,H11,7.2,no,22800,0.489,0.422,11
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,4,H,12,H12,7.2,no,22800,0.472,0.406,12
blank,blank,blank,Negative,LB,0.001,30,1,A,1,A1,7,no,24000,0.154,0.144,1
blank,blank,blank,Negative,LB,0.001,30,2,A,2,A2,7,no,24000,0.144,0.135,2
blank,blank,blank,Negative,LB,0.001,30,3,A,3,A3,7,no,24000,0.165,0.155,3
blank,blank,blank,Negative,LB,0.001,30,4,A,4,A4,7,no,24000,0.141,0.132,4
blank,blank,blank,Negative,BG11,0.001,30,1,A,5,A5,7.5,no,24000,0.148,0.144,5
blank,blank,blank,Negative,BG11,0.001,30,2,A,6,A6,7.5,no,24000,0.156,0.151,6
blank,blank,blank,Negative,BG11,0.001,30,3,A,7,A7,7.5,no,24000,0.155,0.151,7
blank,blank,blank,Negative,BG11,0.001,30,4,A,8,A8,7.5,no,24000,0.156,0.151,8
blank,blank,blank,Negative,LB + BG11,0.001,30,1,A,9,A9,7.2,no,24000,0.161,0.151,9
blank,blank,blank,Negative,LB + BG11,0.001,30,2,A,10,A10,7.2,no,24000,0.179,0.164,10
blank,blank,blank,Negative,LB + BG11,0.001,30,3,A,11,A11,7.2,no,24000,0.171,0.161,11
blank,blank,blank,Negative,LB + BG11,0.001,30,4,A,12,A12,7.2,no,24000,0.207,0.188,12
S.oneidensis,blank,blank,So,LB,0.001,30,1,B,1,B1,7,no,24000,0.193,0.17,1
S.oneidensis,blank,blank,So,LB,0.001,30,2,B,2,B2,7,no,24000,0.314,0.255,2
S.oneidensis,blank,blank,So,LB,0.001,30,3,B,3,B3,7,no,24000,0.388,0.306,3
S.oneidensis,blank,blank,So,LB,0.001,30,4,B,4,B4,7,no,24000,0.315,0.26,4
S.oneidensis,blank,blank,So,BG11,0.001,30,1,B,5,B5,7.5,no,24000,0.18,0.167,5
S.oneidensis,blank,blank,So,BG11,0.001,30,2,B,6,B6,7.5,no,24000,0.176,0.165,6
S.oneidensis,blank,blank,So,BG11,0.001,30,3,B,7,B7,7.5,no,24000,0.179,0.168,7
S.oneidensis,blank,blank,So,BG11,0.001,30,4,B,8,B8,7.5,no,24000,0.18,0.171,8
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,1,B,9,B9,7.2,no,24000,0.485,0.39,9
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,2,B,10,B10,7.2,no,24000,0.454,0.366,10
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,3,B,11,B11,7.2,no,24000,0.46,0.372,11
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,4,B,12,B12,7.2,no,24000,0.487,0.391,12
P.pudita,blank,blank,Pp,LB,0.001,30,1,C,1,C1,7,no,24000,0.479,0.423,1
P.pudita,blank,blank,Pp,LB,0.001,30,2,C,2,C2,7,no,24000,0.457,0.391,2
P.pudita,blank,blank,Pp,LB,0.001,30,3,C,3,C3,7,no,24000,0.535,0.446,3
P.pudita,blank,blank,Pp,LB,0.001,30,4,C,4,C4,7,no,24000,0.455,0.385,4
P.pudita,blank,blank,Pp,BG11,0.001,30,1,C,5,C5,7.5,no,24000,0.185,0.17,5
P.pudita,blank,blank,Pp,BG11,0.001,30,2,C,6,C6,7.5,no,24000,0.188,0.173,6
P.pudita,blank,blank,Pp,BG11,0.001,30,3,C,7,C7,7.5,no,24000,0.198,0.183,7
P.pudita,blank,blank,Pp,BG11,0.001,30,4,C,8,C8,7.5,no,24000,0.193,0.183,8
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,1,C,9,C9,7.2,no,24000,0.473,0.407,9
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,2,C,10,C10,7.2,no,24000,0.473,0.398,10
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,3,C,11,C11,7.2,no,24000,0.446,0.383,11
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,4,C,12,C12,7.2,no,24000,0.483,0.414,12
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,1,D,1,D1,7,no,24000,0.144,0.135,1
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,2,D,2,D2,7,yes,24000,0.144,0.134,2
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,3,D,3,D3,7,no,24000,0.146,0.138,3
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,4,D,4,D4,7,no,24000,0.145,0.136,4
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,1,D,5,D5,7.5,no,24000,0.157,0.15,5
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,2,D,6,D6,7.5,no,24000,0.143,0.137,6
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,3,D,7,D7,7.5,no,24000,0.154,0.149,7
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,4,D,8,D8,7.5,no,24000,0.147,0.142,8
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,1,D,9,D9,7.2,no,24000,0.197,0.183,9
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,2,D,10,D10,7.2,no,24000,0.226,0.202,10
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,3,D,11,D11,7.2,no,24000,0.228,0.206,11
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,4,D,12,D12,7.2,no,24000,0.22,0.198,12
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,1,E,1,E1,7,no,24000,0.461,0.39,1
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,2,E,2,E2,7,no,24000,0.369,0.33,2
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,3,E,3,E3,7,no,24000,0.342,0.313,3
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,4,E,4,E4,7,no,24000,0.455,0.39,4
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,1,E,5,E5,7.5,no,24000,0.178,0.163,5
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,2,E,6,E6,7.5,no,24000,0.188,0.173,6
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,3,E,7,E7,7.5,no,24000,0.184,0.169,7
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,4,E,8,E8,7.5,no,24000,0.197,0.187,8
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,1,E,9,E9,7.2,no,24000,0.519,0.439,9
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,2,E,10,E10,7.2,no,24000,0.531,0.443,10
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,3,E,11,E11,7.2,no,24000,0.534,0.454,11
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,4,E,12,E12,7.2,no,24000,0.401,0.348,12
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,1,F,1,F1,7,no,24000,0.188,0.165,1
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,2,F,2,F2,7,no,24000,0.166,0.153,2
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,3,F,3,F3,7,no,24000,0.179,0.16,3
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,4,F,4,F4,7,no,24000,0.178,0.162,4
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,1,F,5,F5,7.5,no,24000,0.168,0.157,5
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,2,F,6,F6,7.5,no,24000,0.169,0.157,6
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,3,F,7,F7,7.5,no,24000,0.18,0.169,7
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,4,F,8,F8,7.5,no,24000,0.182,0.172,8
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,1,F,9,F9,7.2,no,24000,0.392,0.327,9
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,2,F,10,F10,7.2,no,24000,0.379,0.32,10
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,3,F,11,F11,7.2,no,24000,0.435,0.357,11
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,4,F,12,F12,7.2,no,24000,0.416,0.349,12
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,1,G,1,G1,7,no,24000,0.403,0.334,1
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,2,G,2,G2,7,no,24000,0.319,0.29,2
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,3,G,3,G3,7,no,24000,0.377,0.329,3
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,4,G,4,G4,7,no,24000,0.354,0.296,4
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,1,G,5,G5,7.5,no,24000,0.201,0.187,5
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,2,G,6,G6,7.5,no,24000,0.19,0.178,6
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,3,G,7,G7,7.5,no,24000,0.196,0.184,7
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,4,G,8,G8,7.5,no,24000,0.186,0.174,8
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,1,G,9,G9,7.2,no,24000,0.472,0.406,9
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,2,G,10,G10,7.2,no,24000,0.445,0.388,10
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,3,G,11,G11,7.2,no,24000,0.45,0.395,11
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,4,G,12,G12,7.2,no,24000,0.464,0.405,12
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,1,H,1,H1,7,no,24000,0.517,0.432,1
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,2,H,2,H2,7,no,24000,0.312,0.268,2
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,3,H,3,H3,7,no,24000,0.492,0.423,3
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,4,H,4,H4,7,no,24000,0.401,0.339,4
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,1,H,5,H5,7.5,no,24000,0.179,0.164,5
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,2,H,6,H6,7.5,no,24000,0.181,0.168,6
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,3,H,7,H7,7.5,no,24000,0.181,0.167,7
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,4,H,8,H8,7.5,no,24000,0.201,0.185,8
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,1,H,9,H9,7.2,no,24000,0.588,0.483,9
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,2,H,10,H10,7.2,no,24000,0.5,0.427,10
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,3,H,11,H11,7.2,no,24000,0.577,0.49,11
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,4,H,12,H12,7.2,no,24000,0.568,0.482,12
blank,blank,blank,Negative,LB,0.001,30,1,A,1,A1,7,no,25200,0.153,0.145,1
blank,blank,blank,Negative,LB,0.001,30,2,A,2,A2,7,no,25200,0.144,0.135,2
blank,blank,blank,Negative,LB,0.001,30,3,A,3,A3,7,no,25200,0.166,0.157,3
blank,blank,blank,Negative,LB,0.001,30,4,A,4,A4,7,no,25200,0.141,0.132,4
blank,blank,blank,Negative,BG11,0.001,30,1,A,5,A5,7.5,no,25200,0.147,0.143,5
blank,blank,blank,Negative,BG11,0.001,30,2,A,6,A6,7.5,no,25200,0.158,0.152,6
blank,blank,blank,Negative,BG11,0.001,30,3,A,7,A7,7.5,no,25200,0.156,0.151,7
blank,blank,blank,Negative,BG11,0.001,30,4,A,8,A8,7.5,no,25200,0.156,0.15,8
blank,blank,blank,Negative,LB + BG11,0.001,30,1,A,9,A9,7.2,no,25200,0.163,0.153,9
blank,blank,blank,Negative,LB + BG11,0.001,30,2,A,10,A10,7.2,no,25200,0.197,0.176,10
blank,blank,blank,Negative,LB + BG11,0.001,30,3,A,11,A11,7.2,no,25200,0.171,0.163,11
blank,blank,blank,Negative,LB + BG11,0.001,30,4,A,12,A12,7.2,no,25200,0.208,0.191,12
S.oneidensis,blank,blank,So,LB,0.001,30,1,B,1,B1,7,no,25200,0.21,0.184,1
S.oneidensis,blank,blank,So,LB,0.001,30,2,B,2,B2,7,no,25200,0.356,0.287,2
S.oneidensis,blank,blank,So,LB,0.001,30,3,B,3,B3,7,no,25200,0.426,0.332,3
S.oneidensis,blank,blank,So,LB,0.001,30,4,B,4,B4,7,no,25200,0.345,0.283,4
S.oneidensis,blank,blank,So,BG11,0.001,30,1,B,5,B5,7.5,no,25200,0.189,0.175,5
S.oneidensis,blank,blank,So,BG11,0.001,30,2,B,6,B6,7.5,no,25200,0.184,0.171,6
S.oneidensis,blank,blank,So,BG11,0.001,30,3,B,7,B7,7.5,no,25200,0.186,0.173,7
S.oneidensis,blank,blank,So,BG11,0.001,30,4,B,8,B8,7.5,no,25200,0.186,0.174,8
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,1,B,9,B9,7.2,no,25200,0.55,0.427,9
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,2,B,10,B10,7.2,no,25200,0.518,0.407,10
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,3,B,11,B11,7.2,no,25200,0.527,0.413,11
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,4,B,12,B12,7.2,no,25200,0.55,0.435,12
P.pudita,blank,blank,Pp,LB,0.001,30,1,C,1,C1,7,no,25200,0.555,0.473,1
P.pudita,blank,blank,Pp,LB,0.001,30,2,C,2,C2,7,no,25200,0.562,0.477,2
P.pudita,blank,blank,Pp,LB,0.001,30,3,C,3,C3,7,no,25200,0.61,0.508,3
P.pudita,blank,blank,Pp,LB,0.001,30,4,C,4,C4,7,no,25200,0.535,0.45,4
P.pudita,blank,blank,Pp,BG11,0.001,30,1,C,5,C5,7.5,no,25200,0.182,0.167,5
P.pudita,blank,blank,Pp,BG11,0.001,30,2,C,6,C6,7.5,no,25200,0.184,0.17,6
P.pudita,blank,blank,Pp,BG11,0.001,30,3,C,7,C7,7.5,no,25200,0.194,0.179,7
P.pudita,blank,blank,Pp,BG11,0.001,30,4,C,8,C8,7.5,no,25200,0.198,0.182,8
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,1,C,9,C9,7.2,no,25200,0.521,0.439,9
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,2,C,10,C10,7.2,no,25200,0.526,0.448,10
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,3,C,11,C11,7.2,no,25200,0.505,0.43,11
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,4,C,12,C12,7.2,no,25200,0.544,0.458,12
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,1,D,1,D1,7,no,25200,0.144,0.135,1
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,2,D,2,D2,7,yes,25200,0.144,0.134,2
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,3,D,3,D3,7,no,25200,0.146,0.137,3
Synechocystis.sp,blank,blank,Ss,LB,0.001,30,4,D,4,D4,7,no,25200,0.145,0.136,4
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,1,D,5,D5,7.5,no,25200,0.158,0.15,5
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,2,D,6,D6,7.5,no,25200,0.143,0.137,6
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,3,D,7,D7,7.5,no,25200,0.156,0.149,7
Synechocystis.sp,blank,blank,Ss,BG11,0.001,30,4,D,8,D8,7.5,no,25200,0.147,0.142,8
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,1,D,9,D9,7.2,no,25200,0.215,0.194,9
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,2,D,10,D10,7.2,no,25200,0.242,0.213,10
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,3,D,11,D11,7.2,no,25200,0.267,0.232,11
Synechocystis.sp,blank,blank,Ss,LB + BG11,0.001,30,4,D,12,D12,7.2,no,25200,0.244,0.211,12
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,1,E,1,E1,7,no,25200,0.532,0.442,1
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,2,E,2,E2,7,no,25200,0.439,0.376,2
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,3,E,3,E3,7,no,25200,0.432,0.368,3
S.oneidensis,P.pudita,blank,So + Pp,LB,0.001,30,4,E,4,E4,7,no,25200,0.545,0.46,4
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,1,E,5,E5,7.5,no,25200,0.182,0.169,5
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,2,E,6,E6,7.5,no,25200,0.19,0.173,6
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,3,E,7,E7,7.5,no,25200,0.185,0.17,7
S.oneidensis,P.pudita,blank,So + Pp,BG11,0.001,30,4,E,8,E8,7.5,no,25200,0.193,0.183,8
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,1,E,9,E9,7.2,no,25200,0.575,0.474,9
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,2,E,10,E10,7.2,no,25200,0.592,0.491,10
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,3,E,11,E11,7.2,no,25200,0.589,0.492,11
S.oneidensis,P.pudita,blank,So + Pp,LB + BG11,0.001,30,4,E,12,E12,7.2,no,25200,0.458,0.397,12
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,1,F,1,F1,7,no,25200,0.203,0.175,1
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,2,F,2,F2,7,no,25200,0.172,0.158,2
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,3,F,3,F3,7,no,25200,0.192,0.17,3
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB,0.001,30,4,F,4,F4,7,no,25200,0.188,0.169,4
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,1,F,5,F5,7.5,no,25200,0.171,0.159,5
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,2,F,6,F6,7.5,no,25200,0.172,0.159,6
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,3,F,7,F7,7.5,no,25200,0.183,0.171,7
S.oneidensis,Synechocystis.sp,blank,So + Ss,BG11,0.001,30,4,F,8,F8,7.5,no,25200,0.185,0.174,8
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,1,F,9,F9,7.2,no,25200,0.447,0.372,9
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,2,F,10,F10,7.2,no,25200,0.415,0.345,10
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,3,F,11,F11,7.2,no,25200,0.488,0.396,11
S.oneidensis,Synechocystis.sp,blank,So + Ss,LB + BG11,0.001,30,4,F,12,F12,7.2,no,25200,0.47,0.386,12
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,1,G,1,G1,7,no,25200,0.487,0.409,1
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,2,G,2,G2,7,no,25200,0.35,0.303,2
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,3,G,3,G3,7,no,25200,0.397,0.356,3
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB,0.001,30,4,G,4,G4,7,no,25200,0.446,0.371,4
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,1,G,5,G5,7.5,no,25200,0.208,0.19,5
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,2,G,6,G6,7.5,no,25200,0.201,0.184,6
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,3,G,7,G7,7.5,no,25200,0.205,0.188,7
P.pudita,Synechocystis.sp,blank,Pp + Ss,BG11,0.001,30,4,G,8,G8,7.5,no,25200,0.198,0.18,8
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,1,G,9,G9,7.2,no,25200,0.523,0.454,9
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,2,G,10,G10,7.2,no,25200,0.516,0.44,10
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,3,G,11,G11,7.2,no,25200,0.52,0.451,11
P.pudita,Synechocystis.sp,blank,Pp + Ss,LB + BG11,0.001,30,4,G,12,G12,7.2,no,25200,0.519,0.44,12
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,1,H,1,H1,7,no,25200,0.565,0.473,1
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,2,H,2,H2,7,no,25200,0.365,0.311,2
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,3,H,3,H3,7,no,25200,0.567,0.481,3
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB,0.001,30,4,H,4,H4,7,no,25200,0.486,0.405,4
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,1,H,5,H5,7.5,no,25200,0.175,0.164,5
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,2,H,6,H6,7.5,no,25200,0.178,0.166,6
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,3,H,7,H7,7.5,no,25200,0.192,0.175,7
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,4,H,8,H8,7.5,no,25200,0.199,0.185,8
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,1,H,9,H9,7.2,no,25200,0.648,0.539,9
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,2,H,10,H10,7.2,no,25200,0.578,0.494,10
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,3,H,11,H11,7.2,no,25200,0.682,0.571,11
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,4,H,12,H12,7.2,no,25200,0.669,0.557,12
blank,blank,blank,Negative,LB,0.001,30,1,A,1,A1,7,no,26400,0.153,0.144,1
blank,blank,blank,Negative,LB,0.001,30,2,A,2,A2,7,no,26400,0.144,0.135,2
blank,blank,blank,Negative,LB,0.001,30,3,A,3,A3,7,no,26400,0.165,0.157,3
blank,blank,blank,Negative,LB,0.001,30,4,A,4,A4,7,no,26400,0.141,0.131,4
blank,blank,blank,Negative,BG11,0.001,30,1,A,5,A5,7.5,no,26400,0.15,0.142,5
blank,blank,blank,Negative,BG11,0.001,30,2,A,6,A6,7.5,no,26400,0.158,0.152,6
blank,blank,blank,Negative,BG11,0.001,30,3,A,7,A7,7.5,no,26400,0.157,0.151,7
blank,blank,blank,Negative,BG11,0.001,30,4,A,8,A8,7.5,no,26400,0.155,0.149,8
blank,blank,blank,Negative,LB + BG11,0.001,30,1,A,9,A9,7.2,no,26400,0.166,0.154,9
blank,blank,blank,Negative,LB + BG11,0.001,30,2,A,10,A10,7.2,no,26400,0.206,0.184,10
blank,blank,blank,Negative,LB + BG11,0.001,30,3,A,11,A11,7.2,no,26400,0.175,0.165,11
