strain_1,strain_2,strain_3,name,media,init_OD,temperature,replicate,row,col,well,pH,anomalous,time,OD600,OD730,column
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,2,H,6,H6,7.5,no,1200,0.155,0.15,6
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,3,H,7,H7,7.5,no,1200,0.149,0.145,7
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,BG11,0.001,30,4,H,8,H8,7.5,no,1200,0.165,0.158,8
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,1,H,9,H9,7.2,no,1200,0.159,0.15,9
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,2,H,10,H10,7.2,no,1200,0.164,0.158,10
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,3,H,11,H11,7.2,no,1200,0.16,0.153,11
S.oneidensis,P.pudita,Synechocystis.sp,So + Pp + Ss,LB + BG11,0.001,30,4,H,12,H12,7.2,no,1200,0.157,0.148,12
blank,blank,blank,Negative,LB,0.001,30,1,A,1,A1,7,no,2400,0.155,0.145,1
blank,blank,blank,Negative,LB,0.001,30,2,A,2,A2,7,no,2400,0.146,0.137,2
blank,blank,blank,Negative,LB,0.001,30,3,A,3,A3,7,no,2400,0.153,0.145,3
blank,blank,blank,Negative,LB,0.001,30,4,A,4,A4,7,no,2400,0.143,0.134,4
blank,blank,blank,Negative,BG11,0.001,30,1,A,5,A5,7.5,no,2400,0.143,0.137,5
blank,blank,blank,Negative,BG11,0.001,30,2,A,6,A6,7.5,no,2400,0.154,0.149,6
blank,blank,blank,Negative,BG11,0.001,30,3,A,7,A7,7.5,no,2400,0.157,0.151,7
blank,blank,blank,Negative,BG11,0.001,30,4,A,8,A8,7.5,no,2400,0.153,0.149,8
blank,blank,blank,Negative,LB + BG11,0.001,30,1,A,9,A9,7.2,no,2400,0.146,0.139,9
blank,blank,blank,Negative,LB + BG11,0.001,30,2,A,10,A10,7.2,no,2400,0.149,0.141,10
blank,blank,blank,Negative,LB + BG11,0.001,30,3,A,11,A11,7.2,no,2400,0.158,0.15,11
blank,blank,blank,Negative,LB + BG11,0.001,30,4,A,12,A12,7.2,no,2400,0.159,0.151,12
S.oneidensis,blank,blank,So,LB,0.001,30,1,B,1,B1,7,no,2400,0.147,0.137,1
S.oneidensis,blank,blank,So,LB,0.001,30,2,B,2,B2,7,no,2400,0.145,0.135,2
S.oneidensis,blank,blank,So,LB,0.001,30,3,B,3,B3,7,no,2400,0.148,0.139,3
S.oneidensis,blank,blank,So,LB,0.001,30,4,B,4,B4,7,no,2400,0.152,0.143,4
S.oneidensis,blank,blank,So,BG11,0.001,30,1,B,5,B5,7.5,no,2400,0.153,0.146,5
S.oneidensis,blank,blank,So,BG11,0.001,30,2,B,6,B6,7.5,no,2400,0.152,0.146,6
S.oneidensis,blank,blank,So,BG11,0.001,30,3,B,7,B7,7.5,no,2400,0.153,0.148,7
S.oneidensis,blank,blank,So,BG11,0.001,30,4,B,8,B8,7.5,no,2400,0.159,0.153,8
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,1,B,9,B9,7.2,no,2400,0.16,0.152,9
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,2,B,10,B10,7.2,no,2400,0.152,0.144,10
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,3,B,11,B11,7.2,no,2400,0.156,0.149,11
S.oneidensis,blank,blank,So,LB + BG11,0.001,30,4,B,12,B12,7.2,no,2400,0.162,0.155,12
P.pudita,blank,blank,Pp,LB,0.001,30,1,C,1,C1,7,no,2400,0.145,0.136,1
P.pudita,blank,blank,Pp,LB,0.001,30,2,C,2,C2,7,no,2400,0.148,0.138,2
P.pudita,blank,blank,Pp,LB,0.001,30,3,C,3,C3,7,no,2400,0.146,0.137,3
P.pudita,blank,blank,Pp,LB,0.001,30,4,C,4,C4,7,no,2400,0.152,0.144,4
P.pudita,blank,blank,Pp,BG11,0.001,30,1,C,5,C5,7.5,no,2400,0.147,0.142,5
P.pudita,blank,blank,Pp,BG11,0.001,30,2,C,6,C6,7.5,no,2400,0.145,0.14,6
P.pudita,blank,blank,Pp,BG11,0.001,30,3,C,7,C7,7.5,no,2400,0.155,0.15,7
P.pudita,blank,blank,Pp,BG11,0.001,30,4,C,8,C8,7.5,no,2400,0.154,0.148,8
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,1,C,9,C9,7.2,no,2400,0.149,0.142,9
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,2,C,10,C10,7.2,no,2400,0.161,0.153,10
P.pudita,blank,blank,Pp,LB + BG11,0.001,30,3,C,11,C11,7.2,no,2400,0.159,0.153,11
